,Episode,Mean,Stddev
440, 440.00000,   0.82728,   1.77132
441, 441.00000,   0.21445,   1.41580
442, 442.00000,  -0.22065,   1.06357
443, 443.00000,   0.10205,   1.25085
444, 444.00000,   0.23664,   1.06921
445, 445.00000,   0.61114,   2.07179
446, 446.00000,   1.21220,   1.43098
447, 447.00000,  -0.43136,   1.16816
448, 448.00000,   0.09016,   1.04299
449, 449.00000,   0.22323,   1.81116
450, 450.00000,   0.59482,   0.90299
451, 451.00000,   0.07009,   1.75676
452, 452.00000,  -0.09535,   1.22721
453, 453.00000,   0.22528,   1.79143
454, 454.00000,   0.69656,   0.97422
455, 455.00000,   0.49483,   1.47820
456, 456.00000,  -0.07816,   1.03377
457, 457.00000,  -0.06262,   1.52731
458, 458.00000,   0.20380,   1.16821
459, 459.00000,   0.44385,   1.51986
460, 460.00000,   0.51988,   1.88943
461, 461.00000,  -0.17792,   1.35217
462, 462.00000,  -0.25861,   1.59810
463, 463.00000,   1.18886,   1.30840
464, 464.00000,   0.13146,   1.60717
465, 465.00000,   0.32093,   1.29583
466, 466.00000,   0.19743,   1.33269
467, 467.00000,   0.38270,   1.00321
468, 468.00000,   0.36330,   1.65049
469, 469.00000,   0.58164,   1.61474
470, 470.00000,  -0.00343,   1.14597
471, 471.00000,  -0.95019,   1.48677
472, 472.00000,   0.20657,   1.42450
473, 473.00000,   0.06004,   1.31109
474, 474.00000,   0.55673,   1.39114
475, 475.00000,   0.99812,   1.00505
476, 476.00000,  -0.23304,   1.78711
477, 477.00000,   0.76030,   1.15703
478, 478.00000,   0.98421,   1.34446
479, 479.00000,  -0.18892,   1.54077
480, 480.00000,  -1.04497,   1.27134
481, 481.00000,  -0.69351,   1.48650
482, 482.00000,  -0.11226,   1.41041
483, 483.00000,   0.01910,   1.25582
484, 484.00000,   0.02380,   1.61740
485, 485.00000,  -0.61858,   1.16749
486, 486.00000,  -0.27683,   0.91108
487, 487.00000,   0.63533,   1.34225
488, 488.00000,  -0.06641,   1.61272
489, 489.00000,   0.72634,   1.31818
490, 490.00000,   0.39934,   1.55876
491, 491.00000,   0.78051,   0.96247
492, 492.00000,   0.34289,   0.90829
493, 493.00000,  -0.96238,   1.12853
494, 494.00000,   0.16671,   1.59096
495, 495.00000,   0.06303,   1.06696
496, 496.00000,  -0.14582,   2.09496
497, 497.00000,   1.27593,   1.36486
498, 498.00000,  -0.17028,   1.60893
499, 499.00000,  -0.14601,   1.25721
